"date","Apple","IBM","ITW","TESLA"
2010-11-30,11.1125,141.460007,47.630001,7.066
2010-12-01,11.3,144.410004,48.360001,6.87
2010-12-02,11.3625,145.179993,48.610001,6.47
2010-12-03,11.337143,145.380005,50.41,6.298
2010-12-06,11.433928,144.990005,50.23,6.062
2010-12-07,11.364643,144.020004,50.59,6.312
2010-12-08,11.464643,144.979996,50.560001,6.474
2010-12-09,11.42,144.300003,50.48,6.41
2010-12-10,11.448571,144.820007,51.060001,6.304
2010-12-13,11.488214,144.279999,51.189999,6.11
2010-12-14,11.438929,145.820007,51.41,5.706
2010-12-15,11.441428,144.720001,50.900002,5.92
2010-12-16,11.473214,144.550003,51.650002,6.162
2010-12-17,11.450357,145,51.970001,6.272
2010-12-20,11.5075,144.509995,52.709999,6.34
2010-12-21,11.578571,145.740005,53.07,6.452
2010-12-22,11.612857,145.949997,53.619999,6.526
2010-12-23,11.557143,145.889999,53.459999,6.018
2010-12-27,11.595715,145.339996,53.540001,5.11
2010-12-28,11.623929,145.710007,53.73,5.282
2010-12-29,11.6175,146.520004,53.57,5.546
2010-12-30,11.559286,146.669998,53.599998,5.3
2010-12-31,11.52,146.759995,53.400002,5.326
2011-01-03,11.770357,147.479996,54.389999,5.324
2011-01-04,11.831786,147.639999,54.060001,5.334
2011-01-05,11.928572,147.050003,54.330002,5.366
2011-01-06,11.918928,148.660004,54.25,5.576
2011-01-07,12.004286,147.929993,54,5.648
2011-01-10,12.230357,147.639999,54.369999,5.69
2011-01-11,12.201428,147.279999,54.459999,5.392
2011-01-12,12.300714,149.100006,55.439999,5.392
2011-01-13,12.345715,148.820007,55.759998,5.244
2011-01-14,12.445714,150,55.959999,5.15
2011-01-18,12.166072,150.649994,56.150002,5.128
2011-01-19,12.101429,155.690002,55.009998,4.806
2011-01-20,11.881429,155.800003,54.23,4.524
2011-01-21,11.668571,155.5,54.709999,4.608
2011-01-24,12.051785,159.630005,55.5,4.898
2011-01-25,12.192857,161.440002,54.91,4.936
2011-01-26,12.280357,161.039993,55.43,4.95
2011-01-27,12.2575,161.070007,55.290001,4.984
2011-01-28,12.003572,159.210007,54.709999,4.802
2011-01-31,12.118571,162,53.490002,4.82
2011-02-01,12.3225,163.559998,53.549999,4.782
2011-02-02,12.297143,163.300003,53.529999,4.788
2011-02-03,12.265715,163.529999,53.34,4.726
2011-02-04,12.375,164,54.25,4.692
2011-02-07,12.567142,164.820007,55.23,4.614
2011-02-08,12.685715,166.050003,55.27,4.898
2011-02-09,12.791429,164.649994,54.950001,4.642
2011-02-10,12.662143,164.089996,55.709999,4.644
2011-02-11,12.744643,163.850006,55.810001,4.65
2011-02-14,12.827857,163.220001,55.720001,4.616
2011-02-15,12.853572,162.839996,54.419998,4.568
2011-02-16,12.968928,163.399994,54.810001,4.946
2011-02-17,12.796429,164.240005,54.939999,4.72
2011-02-18,12.52,164.839996,54.900002,4.636
2011-02-22,12.093214,161.949997,53.34,4.374
2011-02-23,12.236428,160.179993,53.02,4.366
2011-02-24,12.245714,160.770004,53.220001,4.506
2011-02-25,12.434286,162.279999,53.560001,4.722
2011-02-28,12.614643,161.880005,54.099998,4.778
2011-03-01,12.475357,159.970001,53.470001,4.788
2011-03-02,12.575714,160.160004,54.02,4.804
2011-03-03,12.841429,163.479996,55.040001,4.872
2011-03-04,12.857142,161.830002,54.889999,4.99
2011-03-07,12.691428,159.929993,54.77,4.988
2011-03-08,12.705714,162.279999,55.709999,4.932
2011-03-09,12.588214,165.860001,55.849998,4.944
2011-03-10,12.381071,162.020004,54.380001,4.802
2011-03-11,12.571072,162.429993,54.610001,4.814
2011-03-14,12.627143,161.389999,54.360001,4.65
2011-03-15,12.336785,159.020004,53.970001,4.59
2011-03-16,11.786072,153,53.060001,4.564
2011-03-17,11.951428,154.179993,53.75,4.562
2011-03-18,11.809643,155.889999,54,4.592
2011-03-21,12.117857,157.679993,55,4.546
2011-03-22,12.185715,158,54.73,4.438
2011-03-23,12.113929,159.529999,54.669998,4.442
2011-03-24,12.320357,160.039993,55,4.466
2011-03-25,12.555,162.179993,54.970001,4.55
2011-03-28,12.515715,161.369995,54.27,4.65
2011-03-29,12.534286,162.880005,54.41,4.784
2011-03-30,12.451072,163.600006,53.549999,4.742
2011-03-31,12.446786,163.070007,53.720001,5.55
2011-04-01,12.305715,164.270004,54.150002,5.332
2011-04-04,12.185357,164.25,54.75,5.166
2011-04-05,12.103214,163.990005,54.490002,5.34
2011-04-06,12.072857,164.039993,54.450001,5.298
2011-04-07,12.074286,164.380005,54.330002,5.448
2011-04-08,11.966429,164.050003,54.330002,5.298
2011-04-11,11.814285,163.949997,54.32,5.054
2011-04-12,11.871428,163.25,53.599998,4.93
2011-04-13,12.004642,163.949997,53.310001,4.986
2011-04-14,11.872143,164.970001,53.189999,5.028
2011-04-15,11.695,166.210007,53.310001,5.116
2011-04-18,11.851786,165.940002,52.599998,5.006
2011-04-19,12.066428,165.399994,52.900002,5.032
2011-04-20,12.228929,164.75,53.860001,5.15
2011-04-21,12.525,168.279999,54.07,5.348
2011-04-25,12.6075,167.669998,54.41,5.278
2011-04-26,12.515,168.490005,57.73,5.386
2011-04-27,12.505357,170.369995,57.669998,5.416
2011-04-28,12.383928,170.779999,58.34,5.532
2011-04-29,12.504642,170.580002,58.41,5.52
2011-05-02,12.367143,172.149994,58.029999,5.49
2011-05-03,12.435715,172.869995,58.310001,5.374
2011-05-04,12.484643,170.619995,57.759998,5.338
2011-05-05,12.383928,168.460007,57.400002,5.288
2011-05-06,12.380714,168.889999,58.150002,5.424
2011-05-09,12.414286,169.100006,58.009998,5.582
2011-05-10,12.480357,170.380005,58.290001,5.666
2011-05-11,12.401072,169.5,58.09,5.414
2011-05-12,12.3775,172.240005,58.330002,5.534
2011-05-13,12.160714,169.919998,57.950001,5.51
2011-05-16,11.903571,168.860001,57.41,5.32
2011-05-17,12.005,170.5,56.98,5.192
2011-05-18,12.138214,170.440002,57.75,5.27
2011-05-19,12.161786,170.589996,57.650002,5.64
2011-05-20,11.972143,170.160004,57.09,5.594
2011-05-23,11.942857,168.259995,56.540001,5.364
2011-05-24,11.863929,167.990005,56.509998,5.344
2011-05-25,12.027857,167.75,57.040001,5.796
2011-05-26,11.964286,167.179993,56.990002,5.896
2011-05-27,12.050357,167.5,57.040001,5.91
2011-05-31,12.4225,168.929993,57.32,6.028
2011-06-01,12.339643,166.559998,56.259998,5.704
2011-06-02,12.360714,166.089996,56.490002,5.752
2011-06-03,12.265715,165.050003,56.080002,6.026
2011-06-06,12.072857,164.75,55.77,5.74
2011-06-07,11.858571,163.690002,55.709999,5.674
2011-06-08,11.865714,164.339996,55.139999,5.424
2011-06-09,11.838928,164.839996,55.34,5.524
2011-06-10,11.639286,163.179993,54.639999,5.572
2011-06-13,11.664286,163.169998,54.549999,5.686
2011-06-14,11.872857,164.119995,55.549999,5.72
2011-06-15,11.669642,162.330002,54.299999,5.464
2011-06-16,11.612857,162.669998,54.639999,5.3
2011-06-17,11.437857,164.440002,54.93,5.3
2011-06-20,11.261429,165.020004,54.619999,5.202
2011-06-21,11.617857,166.220001,55.540001,5.506
2011-06-22,11.521786,165.679993,55.439999,5.442
2011-06-23,11.829643,166.119995,54.880001,5.542
2011-06-24,11.655357,165.070007,54.349998,5.514
2011-06-27,11.858571,167.619995,54.75,5.492
