"HerdNumber","Race","Disease","Huld","Hasetrykning","Andre_trykninger","Halthed","Hud_Haarlag","Hygiejne_yver","Hygiejne_haser","Flugtafstand","Boer","Skede","Goedning","Ketonstof_urin","CMT_min_1_kirtel","Rejseadfaerd","LactationNumber","Calving_month","InseminationNumber","Insemination_month","MilkYield","Change_milkyield","DiseaseCategory"
"3","Danish Holstein","Tyk has","3.5",,,,,,,,"4","0","5","1",,,1,1,0,0,21.2000007629395,-13.3,"Hoof and limb disorders"
"3","Danish Holstein","Tyk has","3.5",,,,,,,,"2","0","6","1",,,1,0,1,1,32.2999992370605,0,"Hoof and limb disorders"
"3","Danish Holstein","Tyk has",,,,,,,,,,,,,,,2,0,1,0,24.1000003814697,24.1,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has",,,,,,,,,,,,,,,4,0,1,0,0,0,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","4",,,,,,,,,,,,,,4,0,1,0,41,-0.8,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","3.75",,,,,,,,"0","0","5","2",,,5,0,1,0,63,1.5,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","3.5",,,,,,,,"0","0","5","1",,,4,0,3,0,69.5999984741211,69.6,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","3.5",,,,,,,,"4","0","5","6",,,4,1,1,0,0,-21.2,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","3.75",,,,,,,,,,,,,,3,0,1,0,31.1000003814697,-6.1,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","4",,,,,,,,,,,,,,2,1,1,0,0,0,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","3.75",,,,,,,,"1","0","5","2",,,2,0,3,1,53.2999992370605,-6.1,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","3.25",,,,,,,,"4","0","6","1",,,2,0,2,0,45.2999992370605,-1.8,"Hoof and limb disorders"
"1","Danish Holstein","Tyk has","3.75",,,,,,,,"4","0","6","1",,,2,0,1,0,45.5,-7,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has",,,,,,,,,,,,,,,4,0,4,0,28.3999996185303,0,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.75",,,,,,,,,,,,,,5,0,2,0,22.3999996185303,22.4,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","2.25",,,,,,,,"5","0","6","2",,,5,1,2,0,0,-27.8,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","2.5",,,,,,,,"6","0","5","1",,,5,0,1,0,52.4000015258789,52.4,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"0","0","7","1",,,5,0,1,1,39.2000007629395,-5.6,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"0","0","5","1",,,5,0,1,0,32.5,6.5,"Hoof and limb disorders"
"2","Danish red and white Cattle","Tyk has","3.25",,,,,,,,"3","0","5","1",,,5,0,1,0,45,45,"Hoof and limb disorders"
"2","Danish red and white Cattle","Tyk has","3.5",,,,,,,,"2","0","5","1",,,4,0,1,0,54.4000015258789,54.4,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has",,,,,,,,,,,,,,,3,0,1,0,37.5999984741211,0,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.75",,,,,,,,"2","0","7","1",,,4,0,3,0,48.2000007629395,48.2,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.75",,,,,,,,"1","0","5","1",,,5,1,1,0,0,-53.6,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.75",,,,,,,,"1","0","5","1",,,5,1,1,0,0,-53.6,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"0","0","5","1",,,5,1,1,0,0,-53.2,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"8","1","6","1",,,4,1,1,0,0,-28.5,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has",,,,,,,,,,,,,,,3,0,1,0,48.2000007629395,0,"Hoof and limb disorders"
"2","Danish red and white Cattle","Tyk has",,,,,,,,,,,,,,,2,0,2,0,23.3999996185303,0,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has",,,,,,,,,,,,,,,2,0,2,0,27.2000007629395,0,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"2","0","5","1",,,3,1,1,0,0,-28.4,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"1","0","5","1",,,3,0,2,1,46.2000007629395,46.2,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has",,,,,,,,,,,,,,,2,0,2,0,33,-18,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"0","0","5","1",,,2,0,2,0,55.4000015258789,55.4,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"0","0","5","1",,,2,1,1,0,0,0,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","0","0","0","0","0","0","0","0",,,,,,"0",3,0,4,0,38.5999984741211,-10.8,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","2.75",,,,,,,,,,,,,,2,0,1,0,21.6000003814697,21.6,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has",,,,,,,,,,,,,,,1,0,2,0,32.2000007629395,0,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.75",,,,,,,,"4","0","6","1",,,2,0,2,1,42.2000007629395,-17,"Hoof and limb disorders"
"2","Danish red and white Cattle","Tyk has","3.75",,,,,,,,"1","0","5","1",,,2,0,1,0,43.7999992370605,43.8,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","3.5",,,,,,,,"1","0","5","1",,,2,0,1,0,51.4000015258789,24,"Hoof and limb disorders"
"2","Danish Holstein","Tyk has","0","0","0","0","0","0","0","0",,,,,,"0",1,0,1,0,35.2000007629395,3.6,"Hoof and limb disorders"
"3","Danish Holstein","Tyk has","2.75",,,,,,,,"6","0","5","1",,,6,1,1,0,0,-45,"Hoof and limb disorders"
"3","Danish red and white Cattle","Tyk has","3.5",,,,,,,,"0","0","5","1",,,4,0,1,0,31.3999996185303,1,"Hoof and limb disorders"
"3","Danish red and white Cattle","Tyk has","3.5",,,,,,,,"0","0","5","1",,,6,1,1,0,0,-20.3,"Hoof and limb disorders"
