"screen_name","text","is_retweet","mentions_screen_name","retweet_screen_name","retweet_verified","followers_count","verified","is_quote","quoted_name"
"PetiteM_","I’m black. I’m a cop. I’ve also had hours of de-escalation training. 

With that said:

No matter your color, mental status, prior condition, or mood, if you run at me with a knife, I will shoot you. Many times. 

The end. 

#Philadelphia #phillyriots #BlueLivesMatter",TRUE,"CopWithAttitude","CopWithAttitude",FALSE,1191,FALSE,FALSE,
"d56432070","Crime Stoppers USA
MySpace Police Pipes and Drums Music
click here:
https://t.co/wlxTJjZEUp
.
#backtheblue #bluelivesmatter #risingcrime #crimestoppers #StopCrimeNYC #NicoleMalliotakis #MalliotakisSupportsTheNYPD #NoPoliceCuts #Supportthepolice #Trump2020 #TRUMPSUPPORTSTHEPOLICE https://t.co/rVwCnVtYIq",TRUE,"d56432070","d56432070",FALSE,323,FALSE,FALSE,
"d56432070","Endorsement:
NYC police union endorses Trump, who claims Biden would 'gut every single police department in America' VIEW VIDEO: https://t.co/9V5XcLWBfH #FoxNews 
.
#backtheblue #bluelivesmatter #Trump2020 #TRUMPSUPPORTSTHEPOLICE #NicoleMalliotakis #MalliotakisSupportsTheNYPD #NY",TRUE,"CommonerGoogle","CommonerGoogle",FALSE,323,FALSE,FALSE,
"justthat1chris","The sheepdogs will always stand to protect the flock, even when the flock has been deceived by the wolves into thinking the sheepdog is dangerous. Sheepdogs know better. We know evil when it is knocking on the door. Now more than ever we stand ready #BlueLivesMatter #BackTheBlue https://t.co/pDJWbc6ccn",FALSE,,,,4,FALSE,FALSE,
"JosephDeMauro1","Crime Stoppers USA
MySpace Police Pipes and Drums Music
click here:
https://t.co/wlxTJjZEUp
.
#backtheblue #bluelivesmatter #risingcrime #crimestoppers #StopCrimeNYC #NicoleMalliotakis #MalliotakisSupportsTheNYPD #NoPoliceCuts #Supportthepolice #Trump2020 #TRUMPSUPPORTSTHEPOLICE https://t.co/rVwCnVtYIq",TRUE,"d56432070","d56432070",FALSE,437,FALSE,FALSE,
"JosephDeMauro1","Endorsement:
NYC police union endorses Trump, who claims Biden would 'gut every single police department in America' VIEW VIDEO: https://t.co/9V5XcLWBfH #FoxNews 
.
#backtheblue #bluelivesmatter #Trump2020 #TRUMPSUPPORTSTHEPOLICE #NicoleMalliotakis #MalliotakisSupportsTheNYPD #NY",TRUE,"CommonerGoogle","CommonerGoogle",FALSE,437,FALSE,FALSE,
"lucyann28211055","@SadiqKhan @JoeBiden Trump2020,#AllLivesMatter #bluelivesmatter,",FALSE,"SadiqKhan JoeBiden",,,29,FALSE,FALSE,
"paularsweet","#TRUMP2020Landside #Election2020 #2020Elections  May God bless us with our President Donald J. Trump for 4 more years!<U+0001F64F><U+0001F1FA><U+0001F1F8><U+0001F917> @realDonaldTrump #BlueLivesMatter #TRUMP2020ToSaveAmerica #Texas #Trump2024 https://t.co/r9cW1wp05Y",FALSE,"realDonaldTrump",,,180,FALSE,FALSE,
"PeteTheSullivan","“Law &amp; Order” might have gone too far for me. The pro-police propaganda was subtle, but then they had a cop shoot a black person (justifiably) &amp; then showed tons of black people trying to kill cops in the following days. This is the shit that creates #BlueLivesMatter assholes.",FALSE,,,,662,FALSE,FALSE,
"OLAASM","Blues Lives Matter is a false ideology. 

You look like a fucking idiot waving around an undercover Nazi flag. 

PS:

I hate cops. 

Fuck them all. 

""OmG yOu SoUnD igNorant""

Grow a prick and go fuck yourself.

#BlueLivesMatter",TRUE,"FlexGanoush","FlexGanoush",FALSE,14322,FALSE,FALSE,
"Reina_Gaga","I’m black. I’m a cop. I’ve also had hours of de-escalation training. 

With that said:

No matter your color, mental status, prior condition, or mood, if you run at me with a knife, I will shoot you. Many times. 

The end. 

#Philadelphia #phillyriots #BlueLivesMatter",TRUE,"CopWithAttitude","CopWithAttitude",FALSE,970,FALSE,FALSE,
"millionribbons","The police not only attacked a black women with her kid in the backseat for having trouble making a u-turn, but they proceeded to use the child in propaganda photos. 

Somehow the police day after day continue to get even worse. 

#BlueLivesMatter #phillyprotest",TRUE,"TheNYSocialist","TheNYSocialist",FALSE,351,FALSE,FALSE,
"nokneelersfan","@IamAmySueCase Tomorrow we will give President Trump 4 more years as POTUS <U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F44D><U+0001F44D><U+0001F338><U+0001F338> Goodnight Amy girl. As always the best for you and fam. 

#AmericaFirst   #4MoreYears   #VoteDonaldTrump2020 

#VoteRed    #BlueLivesMatter   #BenghaziAintGoingAway",FALSE,"IamAmySueCase",,,1296,FALSE,FALSE,
"nokneelersfan","@Girl5Trump Hopefully it came back just for a short period of time. I do too believe a President Trump victory could help to make it even shorter. Good luck to you @Girl5Trump.
#2020TrumpLandslide   #BlueLivesMatter 

#VoteRed2020       #BackTheBlue    #AmericaFirst  <U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>",FALSE,"Girl5Trump Girl5Trump",,,1296,FALSE,FALSE,
"nokneelersfan","Getting ready,my voting place opens at 10:00.
Giving President Trump 4 more years to continue Making America Great Again.
#AmericaFirst 
#4MoreYears 
#BlueLivesMatter
#BlackLivesMAGA
#VoteRed
#VoteDonaldTrump",FALSE,,,,1296,FALSE,FALSE,
"AndyVVPhillips","Cop Gets 2-Month Unpaid Suspension For Dragging Teen From Dad's Arrest, Files Grievance - The Police Tribune https://t.co/aEmxJ5aoAd

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Bernie Supporter Arrested In Assassination Plot Against Biden - The Police Tribune https://t.co/DHhFHLO6sK

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Seattle Considers Allowing Criminals To Use Poverty Or Addiction As Defenses To Misdemeanors - The Police Tribune https://t.co/mjDMsaZrYT

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Sen. Bernie Sanders Declares Philly Police 'Murdered' Armed Suspect Walter Wallace - The Police Tribune https://t.co/5hGHsxBt0V

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Suspects With History Of Arson Arrested For Torching Police Car - The Police Tribune https://t.co/8lEvi9s2W6

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
